

lambda(nm), Y
400, 0.541453
401, 0.543219
402, 0.548663
403, 0.550246
404, 0.555784
405, 0.557165
406, 0.56241
407, 0.563665
408, 0.56776
409, 0.569034
410, 0.569996
411, 0.570859
412, 0.559408
413, 0.550479
414, 0.547261
415, 0.548861
416, 0.51294
417, 0.487468
418, 0.492966
419, 0.496212
420, 0.500187
421, 0.50337
422, 0.507741
423, 0.510787
424, 0.514145
425, 0.517611
426, 0.519157
427, 0.521709
428, 0.518589
429, 0.505753
430, 0.505429
431, 0.512849
432, 0.515564
433, 0.521958
434, 0.525164
435, 0.530183
436, 0.535121
437, 0.537794
438, 0.544268
439, 0.546371
440, 0.55125
441, 0.555682
442, 0.556538
443, 0.562719
444, 0.561843
445, 0.562188
446, 0.563548
447, 0.537314
448, 0.507985
449, 0.507265
450, 0.514651
451, 0.517324
452, 0.52165
453, 0.526415
454, 0.530349
455, 0.534643
456, 0.539036
457, 0.543057
458, 0.547554
459, 0.551947
460, 0.555408
461, 0.560076
462, 0.563891
463, 0.566576
464, 0.571424
465, 0.573223
466, 0.574303
467, 0.577971
468, 0.569157
469, 0.553877
470, 0.552547
471, 0.554964
472, 0.555437
473, 0.556938
474, 0.541719
475, 0.51967
476, 0.519315
477, 0.526833
478, 0.528349
479, 0.534171
480, 0.538621
481, 0.539842
482, 0.546456
483, 0.549473
484, 0.549515
485, 0.556505
486, 0.558693
487, 0.556329
488, 0.56269
489, 0.563099
490, 0.554396
491, 0.557393
492, 0.549653
493, 0.500862
494, 0.449921
495, 0.438374
496, 0.444358
497, 0.444471
498, 0.444751
499, 0.439973
500, 0.42257
501, 0.408241
502, 0.408448
503, 0.413903
504, 0.417019
505, 0.419486
506, 0.422532
507, 0.425888
508, 0.428933
509, 0.431142
510, 0.434
511, 0.437744
512, 0.440316
513, 0.442645
514, 0.446423
515, 0.449381
516, 0.451072
517, 0.454467
518, 0.458184
519, 0.459511
520, 0.461639
521, 0.465892
522, 0.467623
523, 0.467623
524, 0.471014
525, 0.473952
526, 0.471383
527, 0.47019
528, 0.473039
529, 0.465068
530, 0.439197
531, 0.414534
532, 0.408982
533, 0.414981
534, 0.418437
535, 0.419541
536, 0.422726
537, 0.425958
538, 0.427971
539, 0.430925
540, 0.433946
541, 0.435366
542, 0.437704
543, 0.441954
544, 0.444372
545, 0.444666
546, 0.447295
547, 0.451597
548, 0.452529
549, 0.451754
550, 0.454757
551, 0.458506
552, 0.456508
553, 0.452852
554, 0.45481
555, 0.454895
556, 0.438619
557, 0.409233
558, 0.387178
559, 0.383574
560, 0.389467
561, 0.393231
562, 0.394512
563, 0.397277
564, 0.400924
565, 0.403499
566, 0.405932
567, 0.409005
568, 0.4115
569, 0.413509
570, 0.416805
571, 0.420877
572, 0.423266
573, 0.424377
574, 0.427155
575, 0.431553
576, 0.434347
577, 0.435152
578, 0.4374
579, 0.442015
580, 0.445405
581, 0.445885
582, 0.447017
583, 0.451371
584, 0.455623
585, 0.456142
586, 0.455621
587, 0.458758
588, 0.463865
589, 0.465134
590, 0.462543
591, 0.462558
592, 0.467357
593, 0.470065
594, 0.465136
595, 0.458178
596, 0.45805
597, 0.460707
598, 0.449209
599, 0.413507
600, 0.365476
601, 0.329213
602, 0.317765
603, 0.323438
604, 0.33027
605, 0.331002
606, 0.329668
607, 0.331593
608, 0.336036
609, 0.338943
610, 0.339108
611, 0.33906
612, 0.341075
613, 0.344567
614, 0.347584
615, 0.349372
616, 0.350688
617, 0.352363
618, 0.354426
619, 0.35653
620, 0.358551
621, 0.360588
622, 0.36271
623, 0.364919
624, 0.367206
625, 0.369493
626, 0.371637
627, 0.373631
628, 0.375698
629, 0.378025
630, 0.380453
631, 0.38264
632, 0.384549
633, 0.386564
634, 0.388994
635, 0.391602
636, 0.393874
637, 0.395726
638, 0.397674
639, 0.400172
640, 0.402963
641, 0.405369
642, 0.407185
643, 0.409014
644, 0.411523
645, 0.414539
646, 0.417204
647, 0.419049
648, 0.420652
649, 0.42296
650, 0.426076
651, 0.42903
652, 0.430936
653, 0.432136
654, 0.433889
655, 0.436847
656, 0.44015
657, 0.442329
658, 0.443071
659, 0.443741
660, 0.445876
661, 0.44927
662, 0.451925
663, 0.452182
664, 0.450772
665, 0.450316
666, 0.45239
667, 0.455048
668, 0.453606
669, 0.444456
670, 0.4286
671, 0.411608
672, 0.399856
673, 0.396218
674, 0.398751
675, 0.403079
676, 0.406053
677, 0.407504
678, 0.409088
679, 0.411917
680, 0.415407
681, 0.418158
682, 0.419614
683, 0.420656
684, 0.422633
685, 0.425968
686, 0.42978
687, 0.432832
688, 0.434743
689, 0.436252
690, 0.438359
691, 0.441291
692, 0.444363
693, 0.446778
694, 0.448511
695, 0.450335
696, 0.453004
697, 0.456445
698, 0.459785
699, 0.462216
700, 0.46381



