

lambda(nm), Y
400, 0.489357
401, 0.49444
402, 0.496716
403, 0.501833
404, 0.504128
405, 0.508293
406, 0.511254
407, 0.513431
408, 0.516906
409, 0.516633
410, 0.517824
411, 0.514706
412, 0.49716
413, 0.477885
414, 0.479572
415, 0.477811
416, 0.444843
417, 0.419428
418, 0.423092
419, 0.427244
420, 0.42823
421, 0.431453
422, 0.43349
423, 0.436821
424, 0.438943
425, 0.441598
426, 0.444242
427, 0.446367
428, 0.448385
429, 0.447456
430, 0.450332
431, 0.454489
432, 0.456959
433, 0.461423
434, 0.463843
435, 0.467506
436, 0.471394
437, 0.47351
438, 0.47817
439, 0.480592
440, 0.483718
441, 0.488088
442, 0.489423
443, 0.493878
444, 0.496253
445, 0.497175
446, 0.50122
447, 0.494857
448, 0.487191
449, 0.491277
450, 0.494306
451, 0.497678
452, 0.503208
453, 0.504416
454, 0.509483
455, 0.514704
456, 0.515332
457, 0.521383
458, 0.525719
459, 0.526026
460, 0.532799
461, 0.536134
462, 0.535647
463, 0.542596
464, 0.544687
465, 0.541913
466, 0.547868
467, 0.547288
468, 0.533312
469, 0.523615
470, 0.516799
471, 0.510705
472, 0.514171
473, 0.50516
474, 0.461987
475, 0.41661
476, 0.405301
477, 0.416221
478, 0.4233
479, 0.423592
480, 0.426346
481, 0.432585
482, 0.436168
483, 0.437516
484, 0.441511
485, 0.445208
486, 0.445699
487, 0.448421
488, 0.452923
489, 0.452527
490, 0.451716
491, 0.455644
492, 0.452611
493, 0.435044
494, 0.417595
495, 0.413069
496, 0.415442
497, 0.417457
498, 0.418563
499, 0.414009
500, 0.400529
501, 0.388142
502, 0.387113
503, 0.392562
504, 0.395541
505, 0.396795
506, 0.399851
507, 0.403222
508, 0.405652
509, 0.408608
510, 0.411697
511, 0.413725
512, 0.416173
513, 0.419716
514, 0.422278
515, 0.423954
516, 0.427068
517, 0.430568
518, 0.432113
519, 0.433708
520, 0.437426
521, 0.440217
522, 0.44041
523, 0.442026
524, 0.445986
525, 0.446877
526, 0.444293
527, 0.44494
528, 0.447322
529, 0.438805
530, 0.415907
531, 0.393921
532, 0.387428
533, 0.392668
534, 0.397421
535, 0.398214
536, 0.399343
537, 0.402605
538, 0.406093
539, 0.408916
540, 0.411532
541, 0.413864
542, 0.416011
543, 0.418686
544, 0.421732
545, 0.424287
546, 0.426578
547, 0.429397
548, 0.432325
549, 0.434607
550, 0.436794
551, 0.439468
552, 0.441765
553, 0.443208
554, 0.444888
555, 0.446448
556, 0.444599
557, 0.438182
558, 0.43231
559, 0.432958
560, 0.438845
561, 0.443475
562, 0.444559
563, 0.446145
564, 0.450909
565, 0.455876
566, 0.458044
567, 0.459522
568, 0.46349
569, 0.468513
570, 0.471169
571, 0.472197
572, 0.475338
573, 0.480838
574, 0.484846
575, 0.48589
576, 0.487498
577, 0.492392
578, 0.497827
579, 0.499941
580, 0.500159
581, 0.503099
582, 0.509113
583, 0.513454
584, 0.513685
585, 0.513756
586, 0.518059
587, 0.524415
588, 0.526999
589, 0.525192
590, 0.524952
591, 0.530094
592, 0.536053
593, 0.535781
594, 0.530032
595, 0.527178
596, 0.531446
597, 0.534601
598, 0.52284
599, 0.491937
600, 0.453441
601, 0.425048
602, 0.415768
603, 0.420736
604, 0.428644
605, 0.432249
606, 0.432065
607, 0.432423
608, 0.435988
609, 0.441828
610, 0.447185
611, 0.45017
612, 0.451106
613, 0.451938
614, 0.454421
615, 0.458574
616, 0.462803
617, 0.465677
618, 0.467524
619, 0.470008
620, 0.474089
621, 0.478769
622, 0.482239
623, 0.484109
624, 0.485973
625, 0.489501
626, 0.494358
627, 0.498533
628, 0.500779
629, 0.502195
630, 0.504974
631, 0.50975
632, 0.514751
633, 0.517856
634, 0.519147
635, 0.52091
636, 0.524979
637, 0.530531
638, 0.534936
639, 0.536782
640, 0.537584
641, 0.54016
642, 0.545428
643, 0.551251
644, 0.554727
645, 0.55545
646, 0.556102
647, 0.559602
648, 0.565844
649, 0.571618
650, 0.57394
651, 0.573327
652, 0.573458
653, 0.577398
654, 0.584226
655, 0.589679
656, 0.59038
657, 0.587464
658, 0.585778
659, 0.589141
660, 0.596182
661, 0.60104
662, 0.59871
663, 0.590187
664, 0.582286
665, 0.581534
666, 0.587029
667, 0.588648
668, 0.572989
669, 0.533135
670, 0.474945
671, 0.414887
672, 0.370684
673, 0.351271
674, 0.35284
675, 0.363139
676, 0.370307
677, 0.369836
678, 0.365322
679, 0.363573
680, 0.368468
681, 0.378174
682, 0.387171
683, 0.390845
684, 0.388815
685, 0.384704
686, 0.382979
687, 0.385626
688, 0.391149
689, 0.396308
690, 0.398894
691, 0.399279
692, 0.399715
693, 0.402216
694, 0.406874
695, 0.411906
696, 0.41525
697, 0.416285
698, 0.416288
699, 0.417315
700, 0.420503



