

lambda(nm), Y
740, 0.326379
740.067, 0.326333
740.133, 0.326287
740.2, 0.326242
740.267, 0.326197
740.333, 0.326152
740.4, 0.326107
740.467, 0.326063
740.533, 0.32602
740.6, 0.325976
740.667, 0.325933
740.733, 0.325891
740.8, 0.325848
740.867, 0.325807
740.933, 0.325765
741, 0.325724
741.067, 0.325684
741.133, 0.325644
741.2, 0.325604
741.267, 0.325565
741.333, 0.325527
741.4, 0.325489
741.467, 0.325451
741.533, 0.325414
741.6, 0.325378
741.667, 0.325342
741.733, 0.325306
741.8, 0.325271
741.867, 0.325237
741.933, 0.325204
742, 0.32517
742.067, 0.325138
742.133, 0.325106
742.2, 0.325075
742.267, 0.325044
742.333, 0.325014
742.4, 0.324985
742.467, 0.324956
742.533, 0.324928
742.6, 0.3249
742.667, 0.324874
742.733, 0.324847
742.8, 0.324822
742.867, 0.324797
742.933, 0.324773
743, 0.32475
743.067, 0.324727
743.133, 0.324705
743.2, 0.324684
743.267, 0.324663
743.333, 0.324643
743.4, 0.324624
743.467, 0.324606
743.533, 0.324588
743.6, 0.324571
743.667, 0.324555
743.733, 0.32454
743.8, 0.324525
743.867, 0.324511
743.933, 0.324498
744, 0.324485
744.067, 0.324474
744.133, 0.324463
744.2, 0.324452
744.267, 0.324443
744.333, 0.324434
744.4, 0.324426
744.467, 0.324419
744.533, 0.324413
744.6, 0.324407
744.667, 0.324402
744.733, 0.324398
744.8, 0.324395
744.867, 0.324392
744.933, 0.32439
745, 0.324389
745.067, 0.324389
745.133, 0.324389
745.2, 0.324391
745.267, 0.324392
745.333, 0.324395
745.4, 0.324399
745.467, 0.324403
745.533, 0.324408
745.6, 0.324413
745.667, 0.32442
745.733, 0.324427
745.8, 0.324435
745.867, 0.324444
745.933, 0.324453
746, 0.324463
746.067, 0.324474
746.133, 0.324485
746.2, 0.324498
746.267, 0.324511
746.333, 0.324524
746.4, 0.324539
746.467, 0.324554
746.533, 0.32457
746.6, 0.324586
746.667, 0.324603
746.733, 0.324621
746.8, 0.32464
746.867, 0.324659
746.933, 0.324679
747, 0.324699
747.067, 0.32472
747.133, 0.324742
747.2, 0.324765
747.267, 0.324788
747.333, 0.324812
747.4, 0.324836
747.467, 0.324861
747.533, 0.324887
747.6, 0.324913
747.667, 0.32494
747.733, 0.324967
747.8, 0.324996
747.867, 0.325024
747.933, 0.325053
748, 0.325083
748.067, 0.325114
748.133, 0.325145
748.2, 0.325176
748.267, 0.325208
748.333, 0.325241
748.4, 0.325274
748.467, 0.325308
748.533, 0.325342
748.6, 0.325377
748.667, 0.325412
748.733, 0.325448
748.8, 0.325485
748.867, 0.325521
748.933, 0.325559
749, 0.325597
749.067, 0.325635
749.133, 0.325674
749.2, 0.325713
749.267, 0.325753
749.333, 0.325793
749.4, 0.325833
749.467, 0.325875
749.533, 0.325916
749.6, 0.325958
749.667, 0.326
749.733, 0.326043
749.8, 0.326086
749.867, 0.32613
749.933, 0.326174
750, 0.326219
750.067, 0.326263
750.133, 0.326309
750.2, 0.326354
750.267, 0.3264
750.333, 0.326447
750.4, 0.326493
750.467, 0.32654
750.533, 0.326588
750.6, 0.326636
750.667, 0.326684
750.733, 0.326732
750.8, 0.326781
750.867, 0.32683
750.933, 0.32688
751, 0.32693
751.067, 0.32698
751.133, 0.32703
751.2, 0.327081
751.267, 0.327132
751.333, 0.327183
751.4, 0.327235
751.467, 0.327287
751.533, 0.327339
751.6, 0.327392
751.667, 0.327445
751.733, 0.327498
751.8, 0.327551
751.867, 0.327605
751.933, 0.327659
752, 0.327713
752.067, 0.327768
752.133, 0.327823
752.2, 0.327878
752.267, 0.327933
752.333, 0.327988
752.4, 0.328044
752.467, 0.3281
752.533, 0.328157
752.6, 0.328213
752.667, 0.32827
752.733, 0.328327
752.8, 0.328384
752.867, 0.328442
752.933, 0.328499
753, 0.328557
753.067, 0.328616
753.133, 0.328674
753.2, 0.328733
753.267, 0.328792
753.333, 0.328851
753.4, 0.32891
753.467, 0.32897
753.533, 0.32903
753.6, 0.32909
753.667, 0.32915
753.733, 0.329211
753.8, 0.329272
753.867, 0.329333
753.933, 0.329394
754, 0.329455
754.067, 0.329517
754.133, 0.329579
754.2, 0.329641
754.267, 0.329703
754.333, 0.329766
754.4, 0.329829
754.467, 0.329892
754.533, 0.329955
754.6, 0.330018
754.667, 0.330082
754.733, 0.330146
754.8, 0.33021
754.867, 0.330275
754.933, 0.330339
755, 0.330404
755.067, 0.33047
755.133, 0.330535
755.2, 0.330601
755.267, 0.330666
755.333, 0.330733
755.4, 0.330799
755.467, 0.330865
755.533, 0.330932
755.6, 0.330999
755.667, 0.331067
755.733, 0.331134
755.8, 0.331202
755.867, 0.33127
755.933, 0.331339
756, 0.331407
756.067, 0.331476
756.133, 0.331545
756.2, 0.331615
756.267, 0.331684
756.333, 0.331754
756.4, 0.331824
756.467, 0.331895
756.533, 0.331965
756.6, 0.332036
756.667, 0.332108
756.733, 0.332179
756.8, 0.332251
756.867, 0.332323
756.933, 0.332396
757, 0.332468
757.067, 0.332541
757.133, 0.332614
757.2, 0.332688
757.267, 0.332762
757.333, 0.332836
757.4, 0.33291
757.467, 0.332985
757.533, 0.33306
757.6, 0.333135
757.667, 0.33321
757.733, 0.333286
757.8, 0.333362
757.867, 0.333439
757.933, 0.333516
758, 0.333593
758.067, 0.33367
758.133, 0.333748
758.2, 0.333826
758.267, 0.333904
758.333, 0.333982
758.4, 0.334061
758.467, 0.33414
758.533, 0.33422
758.6, 0.334299
758.667, 0.334379
758.733, 0.33446
758.8, 0.33454
758.867, 0.334621
758.933, 0.334703
759, 0.334784
759.067, 0.334866
759.133, 0.334948
759.2, 0.335031
759.267, 0.335114
759.333, 0.335197
759.4, 0.33528
759.467, 0.335364
759.533, 0.335448
759.6, 0.335532
759.667, 0.335616
759.733, 0.335701
759.8, 0.335786
759.867, 0.335872
759.933, 0.335957
760, 0.336043



