

lambda(nm), Y
740, 0.219551
740.067, 0.21957
740.133, 0.219588
740.2, 0.219606
740.267, 0.219623
740.333, 0.21964
740.4, 0.219657
740.467, 0.219673
740.533, 0.219689
740.6, 0.219705
740.667, 0.219721
740.733, 0.219736
740.8, 0.219751
740.867, 0.219766
740.933, 0.21978
741, 0.219794
741.067, 0.219808
741.133, 0.219822
741.2, 0.219835
741.267, 0.219849
741.333, 0.219862
741.4, 0.219874
741.467, 0.219887
741.533, 0.2199
741.6, 0.219912
741.667, 0.219924
741.733, 0.219936
741.8, 0.219948
741.867, 0.21996
741.933, 0.219971
742, 0.219983
742.067, 0.219994
742.133, 0.220006
742.2, 0.220017
742.267, 0.220028
742.333, 0.220039
742.4, 0.22005
742.467, 0.220061
742.533, 0.220072
742.6, 0.220083
742.667, 0.220094
742.733, 0.220106
742.8, 0.220117
742.867, 0.220128
742.933, 0.220139
743, 0.22015
743.067, 0.220161
743.133, 0.220173
743.2, 0.220184
743.267, 0.220196
743.333, 0.220207
743.4, 0.220219
743.467, 0.220231
743.533, 0.220243
743.6, 0.220255
743.667, 0.220268
743.733, 0.22028
743.8, 0.220293
743.867, 0.220306
743.933, 0.220319
744, 0.220332
744.067, 0.220346
744.133, 0.22036
744.2, 0.220374
744.267, 0.220388
744.333, 0.220402
744.4, 0.220417
744.467, 0.220432
744.533, 0.220448
744.6, 0.220463
744.667, 0.220479
744.733, 0.220496
744.8, 0.220512
744.867, 0.220529
744.933, 0.220547
745, 0.220564
745.067, 0.220582
745.133, 0.220601
745.2, 0.22062
745.267, 0.220639
745.333, 0.220658
745.4, 0.220678
745.467, 0.220699
745.533, 0.22072
745.6, 0.220741
745.667, 0.220762
745.733, 0.220785
745.8, 0.220807
745.867, 0.22083
745.933, 0.220853
746, 0.220877
746.067, 0.220902
746.133, 0.220926
746.2, 0.220952
746.267, 0.220977
746.333, 0.221004
746.4, 0.22103
746.467, 0.221057
746.533, 0.221085
746.6, 0.221113
746.667, 0.221142
746.733, 0.221171
746.8, 0.221201
746.867, 0.221231
746.933, 0.221262
747, 0.221293
747.067, 0.221324
747.133, 0.221357
747.2, 0.221389
747.267, 0.221423
747.333, 0.221456
747.4, 0.221491
747.467, 0.221525
747.533, 0.221561
747.6, 0.221596
747.667, 0.221633
747.733, 0.22167
747.8, 0.221707
747.867, 0.221745
747.933, 0.221783
748, 0.221822
748.067, 0.221861
748.133, 0.221901
748.2, 0.221942
748.267, 0.221982
748.333, 0.222024
748.4, 0.222066
748.467, 0.222108
748.533, 0.222151
748.6, 0.222194
748.667, 0.222238
748.733, 0.222282
748.8, 0.222327
748.867, 0.222372
748.933, 0.222417
749, 0.222463
749.067, 0.22251
749.133, 0.222557
749.2, 0.222604
749.267, 0.222652
749.333, 0.2227
749.4, 0.222749
749.467, 0.222798
749.533, 0.222847
749.6, 0.222897
749.667, 0.222947
749.733, 0.222997
749.8, 0.223048
749.867, 0.223099
749.933, 0.223151
750, 0.223203
750.067, 0.223255
750.133, 0.223307
750.2, 0.22336
750.267, 0.223413
750.333, 0.223466
750.4, 0.22352
750.467, 0.223574
750.533, 0.223628
750.6, 0.223682
750.667, 0.223737
750.733, 0.223792
750.8, 0.223847
750.867, 0.223902
750.933, 0.223958
751, 0.224013
751.067, 0.224069
751.133, 0.224125
751.2, 0.224181
751.267, 0.224237
751.333, 0.224293
751.4, 0.22435
751.467, 0.224406
751.533, 0.224463
751.6, 0.224519
751.667, 0.224576
751.733, 0.224632
751.8, 0.224689
751.867, 0.224746
751.933, 0.224803
752, 0.224859
752.067, 0.224916
752.133, 0.224973
752.2, 0.225029
752.267, 0.225086
752.333, 0.225142
752.4, 0.225198
752.467, 0.225255
752.533, 0.225311
752.6, 0.225367
752.667, 0.225423
752.733, 0.225478
752.8, 0.225534
752.867, 0.225589
752.933, 0.225644
753, 0.225699
753.067, 0.225754
753.133, 0.225808
753.2, 0.225863
753.267, 0.225917
753.333, 0.22597
753.4, 0.226024
753.467, 0.226077
753.533, 0.22613
753.6, 0.226182
753.667, 0.226234
753.733, 0.226286
753.8, 0.226337
753.867, 0.226388
753.933, 0.226439
754, 0.226489
754.067, 0.226539
754.133, 0.226589
754.2, 0.226638
754.267, 0.226686
754.333, 0.226734
754.4, 0.226782
754.467, 0.226829
754.533, 0.226876
754.6, 0.226922
754.667, 0.226968
754.733, 0.227013
754.8, 0.227058
754.867, 0.227102
754.933, 0.227145
755, 0.227188
755.067, 0.227231
755.133, 0.227273
755.2, 0.227314
755.267, 0.227355
755.333, 0.227395
755.4, 0.227434
755.467, 0.227473
755.533, 0.227512
755.6, 0.227549
755.667, 0.227586
755.733, 0.227623
755.8, 0.227659
755.867, 0.227694
755.933, 0.227728
756, 0.227762
756.067, 0.227795
