

lambda(m), Y
6.45e-07, 0.425245
6.46e-07, 0.426695
6.47e-07, 0.430535
6.48e-07, 0.435445
6.49e-07, 0.438822
6.5e-07, 0.439453
6.51e-07, 0.438893
6.52e-07, 0.440036
6.53e-07, 0.444177
6.54e-07, 0.449521
6.55e-07, 0.452742
6.56e-07, 0.452251
6.57e-07, 0.449966
6.58e-07, 0.449698
6.59e-07, 0.453462
6.6e-07, 0.459195
6.61e-07, 0.462248
6.62e-07, 0.459601
6.63e-07, 0.453018
6.64e-07, 0.447974
6.65e-07, 0.448775
6.66e-07, 0.453773
6.67e-07, 0.454937
6.68e-07, 0.442749
6.69e-07, 0.413101
6.7e-07, 0.371093
6.71e-07, 0.328751
6.72e-07, 0.298185
6.73e-07, 0.284906
6.74e-07, 0.285731
6.75e-07, 0.292221
6.76e-07, 0.29671
6.77e-07, 0.296605
6.78e-07, 0.294405
6.79e-07, 0.29427
6.8e-07, 0.298203
6.81e-07, 0.304683
6.82e-07, 0.310272
6.83e-07, 0.31247
6.84e-07, 0.311451
6.85e-07, 0.309536
6.86e-07, 0.309176
6.87e-07, 0.311179
6.88e-07, 0.314496
6.89e-07, 0.317438
6.9e-07, 0.319144
6.91e-07, 0.320103
6.92e-07, 0.321471
6.93e-07, 0.323932
6.94e-07, 0.327099
6.95e-07, 0.329915
6.96e-07, 0.331611
6.97e-07, 0.33238
6.98e-07, 0.333192
6.99e-07, 0.334961
7e-07, 0.337767



